30081 9999 0 9999 0 4
30082 5.3537 2.99918 11.8867 3.11238 0
30083 9999 0 9999 0 2
30084 1.76734 2.08156 6.87832 2.08262 0
30085 9.24888 2.60151 6.59473 2.71199 0
30086 9999 0 9999 0 4
30087 -0.877652 2.58573 9.33173 2.14185 0
30088 1.38802 3.69711 9.18474 3.07985 0
30089 9999 0 9999 0 4
30090 7.97835 4.85682 11.6799 4.11296 0
30091 9999 0 9999 0 2
30092 -1.86136 4.3497 11.4453 3.46798 0
30093 5.94417 4.06662 15.5415 3.08695 0
30094 -3.47788 3.29253 8.75388 2.01467 0
30095 9999 0 9999 0 2
30096 3.98422 2.38152 4.11106 1.2954 0
30097 9999 0 9999 0 1
30098 9999 0 9999 0 2
30099 9.71719 5.43932 21.6907 4.9052 0
30100 -1.60517 2.0654 9.72667 1.49201 0
30101 9999 0 9999 0 4
30102 9999 0 9999 0 2
30103 9999 0 9999 0 4
30104 9999 0 9999 0 2
30105 9999 0 9999 0 4
30106 9999 0 9999 0 2
30107 -1.4064 2.85278 12.022 1.90173 0
30108 2.96669 4.20455 14.7058 3.98266 0
30109 -0.236095 2.57417 9.64012 1.97016 0
30110 9999 0 9999 0 2
30111 0.474622 4.60159 14.7499 4.37338 0
30112 9999 0 9999 0 2
30113 -1.41494 3.12498 12.0619 3.06785 0
30114 9999 0 9999 0 1
30115 9999 0 9999 0 1
30116 9999 0 9999 0 2
30117 6.31612 3.70395 11.321 3.31638 0
30118 9999 0 9999 0 4
30119 9999 0 9999 0 2
30120 9999 0 9999 0 2
30121 9999 0 9999 0 2
30122 9999 0 9999 0 5
30123 2.70995 3.36192 12.6926 2.9307 0
30124 9999 0 9999 0 2
30125 9999 0 9999 0 3
30126 0.680177 2.13708 8.70465 1.72188 0
30127 3.19655 3.41213 8.91743 3.28549 0
30128 9999 0 9999 0 4
30129 0.63268 3.12825 11.0167 2.34346 0
30130 9999 0 9999 0 4
30131 9999 0 9999 0 2
30132 -4.26334 2.12468 9.03159 1.87251 0
30133 0.898446 3.08717 10.7537 2.09827 0
30134 4.15517 3.15789 10.9559 2.41482 0
30135 4.88723 3.44339 13.0009 2.8373 0
30136 3.50799 2.93017 11.4491 2.39088 0
30137 9999 0 9999 0 2
30138 9999 0 9999 0 2
30139 9.73716 2.23311 5.79439 2.10735 0
30140 9999 0 9999 0 4
30141 9999 0 9999 0 4
30142 9999 0 9999 0 1
30143 9999 0 9999 0 1
30144 9999 0 9999 0 2
30145 9999 0 9999 0 2
30146 -1.61527 4.61271 15.4203 3.89997 0
30147 9999 0 9999 0 2
30148 0.355941 3.16184 11.3061 2.20233 0
30149 9999 0 9999 0 5
30150 9999 0 9999 0 1
30151 9999 0 9999 0 4
30152 8.80578 3.53939 10.1825 2.74102 0
30153 1.83375 3.06595 9.72937 2.41536 0
30154 -5.47803 4.7477 14.4831 4.61399 0
30155 9999 0 9999 0 1
30156 9999 0 9999 0 2
30157 9999 0 9999 0 4
30158 9999 0 9999 0 2
30159 9999 0 9999 0 2
30160 9999 0 9999 0 4
30161 0.609891 2.93117 11.2986 2.11899 0
30162 3.74579 1.50641 9.06186 1.21235 0
30163 -6.42762 3.51111 11.6304 2.7567 0
30164 -0.924268 2.07687 10.2689 1.57503 0
30165 2.53001 1.78114 10.0634 1.72506 0
30166 -3.4843 2.418 10.7153 2.09431 0
30167 4.58497 5.08464 19.6012 4.85966 0
30168 0.981508 2.96368 8.37595 2.25663 0
30169 1.89375 2.77369 14.1331 2.42062 0
30170 -4.84548 1.89689 11.3678 1.46731 0
30171 4.94019 2.28597 4.27285 1.42404 0
30172 1.87525 2.45204 11.1504 2.51745 0
30173 9999 0 9999 0 1
30174 -2.07768 1.44048 10.589 1.27332 0
30175 9999 0 9999 0 2
30176 1.70553 3.13517 12.5209 3.51632 0
30177 9999 0 9999 0 1
30178 0.869401 3.0699 13.2372 2.37508 0
30179 -5.74473 2.30027 7.92829 1.73744 0
30180 -2.55341 2.39697 9.52386 2.17099 0
30181 3.25056 2.40393 14.5136 2.41404 0
30182 -1.13502 2.31577 8.61824 1.53891 0
30183 -1.19953 2.20944 8.65059 1.33756 0
30184 -4.06776 4.35563 10.4572 2.9903 0
30185 -3.38933 1.83877 3.98702 1.09128 0
30186 9999 0 9999 0 4
30187 1.72507 1.62209 10.048 1.41124 0
30188 -2.56087 2.04104 7.25519 1.93429 0
30189 -1.95233 2.62737 10.4493 1.86936 0
30190 9999 0 9999 0 2
30191 -7.30748 1.44721 5.16886 1.76892 0
30192 9999 0 9999 0 2
30193 -0.678812 1.65737 8.73437 1.30353 0
30194 0.660626 3.10663 8.84703 2.37632 0
30195 -1.5094 1.88547 8.78146 1.45126 0
30196 9999 0 9999 0 5
30197 0.876419 2.3378 10.8516 1.78507 0
30198 -0.364993 2.85125 10.175 2.29892 0
30199 -0.606517 2.53489 10.0019 1.73451 0
30200 -0.605403 2.25269 10.3224 1.81014 0
30201 -1.65039 6.72989 15.9173 5.8982 0
30202 -0.316105 2.90888 11.1873 2.58496 0
30203 4.08535 3.26351 10.6107 2.77855 0
30204 2.71566 3.0344 14.0305 2.77685 0
30205 1.19337 1.93627 10.4821 1.69546 0
30206 -7.11405 2.36589 9.68984 2.26054 0
30207 -0.54645 1.98196 9.11061 1.6398 0
30208 -2.3478 3.44508 11.5552 2.90349 0
30209 -1.19205 1.66581 8.99213 1.43375 0
30210 0.295534 1.61547 8.79014 1.48851 0
30211 0.799365 1.42629 9.413 1.16505 0
30212 2.30903 1.88437 9.43263 1.56767 0
