1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 72.429 4.69895
82 36.2148 4.10186
83 50.4046 5.23515
84 70.8575 7.49601
85 -10 0
86 40.3699 5.58162
87 65.7692 4.66392
88 54.1106 6.24013
89 55.5947 5.5845
90 67.9782 6.15713
91 48.1889 5.03926
92 52.5119 5.77646
93 54.7568 5.8175
94 34.5434 4.32411
95 76.8283 5.22295
96 47.6518 4.83561
97 42.5365 4.25811
98 72.874 7.1405
99 35.6428 5.01908
100 59.7581 5.31812
101 64.3592 5.38024
102 67.1694 19.9996
103 35.6542 4.58553
104 46.1953 5.25551
105 41.2952 5.71558
106 62.6369 6.33149
107 34.5784 3.88355
108 56.9014 5.82419
109 70.5747 6.76157
110 75.2667 2.98866
111 43.9222 5.46098
112 -10 0
113 72.1763 5.20202
114 53.7896 5.31165
115 15.8546 12.365
116 42.4261 4.34104
117 37.0494 3.90691
118 70.9689 5.88242
119 63.1986 6.29866
120 24.2965 2.93897
121 31.1171 3.581
122 34.0798 5.55048
123 48.7244 6.22236
124 62.2148 5.7166
125 42.3808 5.79307
126 0 0
127 27.9577 3.18722
128 49.1904 4.89785
129 42.5884 5.01979
130 27.872 2.57207
131 27.8174 2.86453
132 54.558 6.48684
133 74.7347 7.61136
134 58.9711 5.98771
135 30.3933 3.4431
136 36.6219 4.31242
137 74.771 5.19209
138 62.1583 5.60049
139 74.8411 5.82166
140 68.5204 5.8731
141 79.7505 7.04443
142 34.2071 5.42481
143 55.2471 4.59466
144 66.6753 6.29624
145 44.9386 5.09402
146 32.6381 4.97203
147 46.9491 3.71484
148 48.9807 5.14631
149 31.0432 4.2441
150 20.9839 2.20661
151 63.3148 5.46763
152 54.1998 6.50939
153 55.9799 4.90241
154 54.3904 4.90705
155 26.8731 2.7685
156 64.8999 7.14349
157 60.858 6.32055
158 35.1059 3.94574
159 51.5539 5.25734
160 43.3234 4.93119
161 -10 0
162 39.9524 4.75104
163 -10 0
164 33.759 4.47898
165 -10 0
166 55.5437 5.85551
167 69.4871 4.26185
